nombres_productos,categorias,precios,imagenes,url
Panko 1 Kg X Paquete x 1 kg ,ARROCES Y HARINAS,$ 18.000                          ,https://hipermarfish.com/public/images/productos/QUOP052520230853_400.jpg,https://hipermarfish.com/market/productos/arroces-y-harinas
Panko 500 g X Unidad x 500 g ,ARROCES Y HARINAS,$ 9.900                          ,https://hipermarfish.com/public/images/productos/KBYM052520230853_400.jpg,https://hipermarfish.com/market/productos/arroces-y-harinas
Tempura en Bulto X Unidad ,ARROCES Y HARINAS,$ 211.000                          ,https://hipermarfish.com/public/images/productos/YFWH042720200222_400.jpg,https://hipermarfish.com/market/productos/arroces-y-harinas
Tempura Tassya 1 Kg X Unidad x 1 kg ,ARROCES Y HARINAS,$ 24.000                          ,https://hipermarfish.com/public/images/productos/XFZP031720220833_400.jpg,https://hipermarfish.com/market/productos/arroces-y-harinas
Rice Paper Spring 500 g X Paquete x 500 g ,ARROCES Y HARINAS,$ 13.300                          ,https://hipermarfish.com/public/images/productos/EOXW080320221042_400.jpg,https://hipermarfish.com/market/productos/arroces-y-harinas
Algas Golden x 100 Hojas X Unidad ,ALGAS Y DESHIDRATADOS,$ 53.000                          ,https://hipermarfish.com/public/images/productos/ANDO102620230358_400.jpg,https://hipermarfish.com/market/productos/algas-y-deshidratados
Algas Silver x 100 Hojas X Unidad ,ALGAS Y DESHIDRATADOS,$ 49.000                          ,https://hipermarfish.com/public/images/productos/FQPK102620230359_400.jpg,https://hipermarfish.com/market/productos/algas-y-deshidratados
Algas Blue x 100 Hojas X Unidad ,ALGAS Y DESHIDRATADOS,$ 45.000                          ,https://hipermarfish.com/public/images/productos/BFOI102620230359_400.jpg,https://hipermarfish.com/market/productos/algas-y-deshidratados
Algas Golden x 50 Hojas X Paquete x 50 u ,ALGAS Y DESHIDRATADOS,$ 36.800                          ,https://hipermarfish.com/public/images/productos/XQCM021020220322_400.jpg,https://hipermarfish.com/market/productos/algas-y-deshidratados
Algas x 10 Hojas X Paquete x 10 u ,ALGAS Y DESHIDRATADOS,$ 11.100                          ,https://hipermarfish.com/public/images/productos/NMJT020820200852_400.jpg,https://hipermarfish.com/market/productos/algas-y-deshidratados
Ajonjolí Negro Roland 454 g X Unidad x 454 g ,ALGAS Y DESHIDRATADOS,$ 49.800                          ,https://hipermarfish.com/public/images/productos/ZLEF021020220310_400.jpg,https://hipermarfish.com/market/productos/algas-y-deshidratados
Ajonjolí Negro Tassya 500 g X Unidad x 500 g ,ALGAS Y DESHIDRATADOS,$ 27.200                          ,https://hipermarfish.com/public/images/productos/ESYG030220230417_400.jpg,https://hipermarfish.com/market/productos/algas-y-deshidratados
Ajonjolí Negro 226 g X Unidad x 226 g ,ALGAS Y DESHIDRATADOS,$ 30.200                          ,https://hipermarfish.com/public/images/productos/IQPV021020220311_400.jpg,https://hipermarfish.com/market/productos/algas-y-deshidratados
Ajonjolí Negro 117 g X Unidad x 117 g ,ALGAS Y DESHIDRATADOS,$ 24.300                          ,https://hipermarfish.com/public/images/productos/JNOK021020220311_400.jpg,https://hipermarfish.com/market/productos/algas-y-deshidratados
Ajonjolí Blanco 500 g X Unidad x 500 g ,ALGAS Y DESHIDRATADOS,$ 14.000                          ,https://hipermarfish.com/public/images/productos/UPQH111920220314_400.jpg,https://hipermarfish.com/market/productos/algas-y-deshidratados
Shiitake Hongos 250 g X Paquete x 250 g ,ALGAS Y DESHIDRATADOS,$ 37.600                          ,https://hipermarfish.com/public/images/productos/B5A2966_400.jpg,https://hipermarfish.com/market/productos/algas-y-deshidratados
Wakame Tassya 250  g X Unidad x 250 g ,ALGAS Y DESHIDRATADOS,$ 24.500                          ,https://hipermarfish.com/public/images/productos/TUTW121920191006_400.jpg,https://hipermarfish.com/market/productos/algas-y-deshidratados
Agua de Coco con Pulpa 500 ml X Lata x 500 ml ,BEBIDAS Y LICORES,$ 7.500                          ,https://hipermarfish.com/public/images/productos/DZBK052520230818_400.jpg,https://hipermarfish.com/market/productos/bebidas-y-licores
Cerveza Tsingtao Botella 640 ml X Botella x 640 ml ,BEBIDAS Y LICORES,$ 15.700                          ,https://hipermarfish.com/public/images/productos/LPAK110920200506_400.jpg,https://hipermarfish.com/market/productos/bebidas-y-licores
Cerveza Tsingtao Botella 330 ml X Botella x 330 ml ,BEBIDAS Y LICORES,$ 8.300                          ,https://hipermarfish.com/public/images/productos/XMKB062520210739_400.jpg,https://hipermarfish.com/market/productos/bebidas-y-licores
Takara Sierra Gold 300 ml X Botella x 300 ml ,BEBIDAS Y LICORES,$ 33.900                          ,https://hipermarfish.com/public/images/productos/B5A2867_400.jpg,https://hipermarfish.com/market/productos/bebidas-y-licores
Vino Casillero del Diablo Cabernet Sauvignon 750 ml X Unidad x 750 ml ,BEBIDAS Y LICORES,$ 60.000                          ,https://hipermarfish.com/public/images/productos/CWRZ123020220929_400.jpg,https://hipermarfish.com/market/productos/bebidas-y-licores
