0,categoria,precios,imagenes,skus,nombres_productos
https://domicilioscanaveral.com/buscar/DONA%20LUPE,CUIDADO DEL HOGAR,3150,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/103170",103170,BOLSA DONA LUPE*10und 65*90cms GRIS
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA ALMUERZO,6950,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/102884",102884,ATUN DOÑA LUPE LOMITOS ACEITE OLIVA *160g
https://domicilioscanaveral.com/buscar/DONA%20LUPE,CUIDADO DEL HOGAR,2850,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/099580",99580,LAVALOZA DONA LUPE*500ml FRUTOS ROJOS
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA ALMUERZO,4150,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/098976",98976,MAIZ DOÑA LUPE TIERNO *241g
https://domicilioscanaveral.com/buscar/DONA%20LUPE,CUIDADO DEL HOGAR,12450,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/097923",97923,BOLSA DOÑA LUPE NEGRA 65*90cm *50und
https://domicilioscanaveral.com/buscar/DONA%20LUPE,CUIDADO DEL HOGAR,2450,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/097420",97420,BOLSA DOÑA LUPE APARTAMENTO NEGRA 51*75cm *10und
https://domicilioscanaveral.com/buscar/DONA%20LUPE,CUIDADO DEL HOGAR,5150,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/097379",97379,LAVALOZA DOÑA LUPE FRUTOS ROJOS *1000ml
https://domicilioscanaveral.com/buscar/DONA%20LUPE,CUIDADO DEL HOGAR,1950,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/097333",97333,BOLSA DOÑA LUPE PAPELERA 45*50cm *10und
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA ALMUERZO,29950,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/097124",97124,ATUN DONA LUPE ACEITE GIRASOL POUCH*1000
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA ALMUERZO,15950,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/097119",97119,ATUN DONA LUPE ACEITE GIRASOL POUCH*500g
https://domicilioscanaveral.com/buscar/DONA%20LUPE,DESPENSA ALMUERZO,65800,"https://res.cloudinary.com/supertiendas-ca-averal/image/upload/dpr_auto,q_50,f_auto,w_auto/097032",97032,ARROZ DOÑA LUPE PREMIUM *12500g
